Unix Timestamp	Date	Symbol	Open	High	Low	Close	Volume
1.60E+12	10/22/2020 1:07	BTCUSD	12912.16	12912.16	12895.11	12895.11	0.25955338
1.60E+12	10/22/2020 1:06	BTCUSD	12916.39	12916.39	12912.16	12912.16	2.35539266
1.60E+12	10/22/2020 1:05	BTCUSD	12916.46	12916.46	12916.1	12916.39	1.32110191
1.60E+12	10/22/2020 1:04	BTCUSD	12916.46	12919.7	12915.26	12916.46	0.41936138
1.60E+12	10/22/2020 1:03	BTCUSD	12925.76	12925.76	12916.46	12916.46	0.18605722
1.60E+12	10/22/2020 1:02	BTCUSD	12921.99	12925.76	12921.97	12925.76	0.258433783
1.60E+12	10/22/2020 1:01	BTCUSD	12922.37	12922.37	12915.01	12921.99	0.09399918
1.60E+12	10/22/2020 1:00	BTCUSD	12926.89	12927.38	12921.89	12922.37	0.0476012
1.60E+12	10/22/2020 0:59	BTCUSD	12926.04	12936.88	12926.04	12926.89	1.318352731
1.60E+12	10/22/2020 0:58	BTCUSD	12913.15	12926.05	12913.15	12926.04	0.49742432
1.60E+12	10/22/2020 0:57	BTCUSD	12913.77	12913.77	12913.15	12913.15	0.15
1.60E+12	10/22/2020 0:56	BTCUSD	12915.4	12915.4	12908.26	12913.77	0.52814387
1.60E+12	10/22/2020 0:55	BTCUSD	12912.13	12918.07	12912.13	12915.4	1.7273947
1.60E+12	10/22/2020 0:54	BTCUSD	12910.93	12912.43	12910.93	12912.13	0.41373373
1.60E+12	10/22/2020 0:53	BTCUSD	12905.6	12915.02	12905.6	12910.93	1.038064977
1.60E+12	10/22/2020 0:52	BTCUSD	12911.94	12911.94	12903.55	12905.6	3.98450891
1.60E+12	10/22/2020 0:51	BTCUSD	12909.5	12915.74	12909.5	12911.94	2.05007221
1.60E+12	10/22/2020 0:50	BTCUSD	12922.04	12923.86	12909.5	12909.5	0.36986239
1.60E+12	10/22/2020 0:49	BTCUSD	12911.45	12922.82	12911.45	12922.04	0.462922693
1.60E+12	10/22/2020 0:48	BTCUSD	12909.51	12918.29	12909.51	12911.45	0.12532151
1.60E+12	10/22/2020 0:47	BTCUSD	12902.38	12909.51	12902.38	12909.51	0.93639253
1.60E+12	10/22/2020 0:46	BTCUSD	12899.66	12902.38	12897.28	12902.38	0.1326883
1.60E+12	10/22/2020 0:45	BTCUSD	12904.68	12904.68	12890.87	12899.66	0.09807232
1.60E+12	10/22/2020 0:44	BTCUSD	12900.03	12905.3	12900.03	12904.68	0.3673661
1.60E+12	10/22/2020 0:43	BTCUSD	12900	12900.03	12882.91	12900.03	0.73937882
1.60E+12	10/22/2020 0:42	BTCUSD	12886.13	12900	12881.29	12900	1.04107924
1.60E+12	10/22/2020 0:41	BTCUSD	12871.43	12886.13	12869.05	12886.13	0.73823214
1.60E+12	10/22/2020 0:40	BTCUSD	12858.79	12871.45	12853.07	12871.43	5.18637276
1.60E+12	10/22/2020 0:39	BTCUSD	12881.53	12881.53	12858.79	12858.79	0.0690847
1.60E+12	10/22/2020 0:38	BTCUSD	12884.79	12884.79	12881.53	12881.53	0.03572128
1.60E+12	10/22/2020 0:37	BTCUSD	12899.24	12899.24	12884.79	12884.79	0.22396887
1.60E+12	10/22/2020 0:36	BTCUSD	12891.74	12899.24	12891.74	12899.24	0.10799788
1.60E+12	10/22/2020 0:35	BTCUSD	12883.99	12894.21	12883.99	12891.74	1.0026618
1.60E+12	10/22/2020 0:34	BTCUSD	12903.91	12909.78	12877.1	12883.99	9.52235563
1.60E+12	10/22/2020 0:33	BTCUSD	12893.78	12903.91	12891.6	12903.91	0.0163956
1.60E+12	10/22/2020 0:32	BTCUSD	12900	12900	12892.69	12893.78	0.25471233
1.60E+12	10/22/2020 0:31	BTCUSD	12898.99	12900	12893.45	12900	0.50576515
1.60E+12	10/22/2020 0:30	BTCUSD	12869.79	12898.99	12869.79	12898.99	0.441129772
1.60E+12	10/22/2020 0:29	BTCUSD	12900.68	12900.68	12869.79	12869.79	0.39174881
1.60E+12	10/22/2020 0:28	BTCUSD	12897.62	12901.01	12894.34	12900.68	0.23216502
1.60E+12	10/22/2020 0:27	BTCUSD	12903.3	12903.3	12897.05	12897.62	0.25519078
1.60E+12	10/22/2020 0:26	BTCUSD	12893.83	12903.3	12889.99	12903.3	1.00036774
1.60E+12	10/22/2020 0:25	BTCUSD	12911.84	12914.59	12888.09	12893.83	4.91728738
1.60E+12	10/22/2020 0:24	BTCUSD	12926.86	12926.86	12910.71	12911.84	2.05407341
1.60E+12	10/22/2020 0:23	BTCUSD	12926.44	12926.86	12926.04	12926.86	0.05298901
1.60E+12	10/22/2020 0:22	BTCUSD	12928.13	12933.66	12923.01	12926.44	0.92467334
1.60E+12	10/22/2020 0:21	BTCUSD	12923	12928.13	12921.03	12928.13	0.13349618
1.60E+12	10/22/2020 0:20	BTCUSD	12943.6	12943.6	12923	12923	3.82834083
1.60E+12	10/22/2020 0:19	BTCUSD	12947.74	12948.35	12943.6	12943.6	0.74100598
1.60E+12	10/22/2020 0:18	BTCUSD	12937.57	12947.74	12937.57	12947.74	0.06605527
1.60E+12	10/22/2020 0:17	BTCUSD	12953.98	12953.98	12929.36	12937.57	1.98833371
1.60E+12	10/22/2020 0:16	BTCUSD	12923.36	12963.76	12923.36	12953.98	2.88681156
1.60E+12	10/22/2020 0:15	BTCUSD	12924	12924.59	12921.06	12923.36	1.299524471
1.60E+12	10/22/2020 0:14	BTCUSD	12920.61	12931.01	12920.61	12924	0.03590181
1.60E+12	10/22/2020 0:13	BTCUSD	12922.23	12922.23	12920.61	12920.61	0.03036225
1.60E+12	10/22/2020 0:12	BTCUSD	12907.51	12926.96	12907.51	12922.23	0.205190427
1.60E+12	10/22/2020 0:11	BTCUSD	12903.23	12907.51	12903.23	12907.51	0.53948042
